"Neighborhood","Venue Category","Venue","Neighborhood_Latitude","Neighborhood_Longitude","id","location.city","location.state","categories_name","categories_pluralName","location_crossStreet","location_formattedAddress","location_postalCode","location_address"
"Opp. Army R&R Hospital","Academic Building","FIIB India",28.57400722,77.15685368,"4f3f2846d5fb6f5b490cce55","New Delhi","Delhi","College Academic Building","College Academic Buildings","Opp. Army R&R Hospital","5, Rao TulaRam Marg (Opp. Army R&R Hospital)",100057,"5, Rao TulaRam Marg"
"Sector 62","Academic Building","The Heritage School",28.40897481,77.08888178,"4cda0456930af04d77a58297","New Delhi","Delhi","College Academic Building","College Academic Buildings","null","Sector 62","null","Sector 62"
"New Delhi","Education","Mother's Pride",28.44635298,77.0795295,"4e9bcba39adf277db8357978","New Delhi","Delhi","General College & University","General Colleges & Universities","null","India","null","null"
"Greater Noida","Office","ALPHA I COMMERCIAL BELT",28.472305,77.511154,"57f13181cd101043745a16b5","New Delhi","Delhi","Office","Offices","null","Greater Noida","null","null"
"C.C.I.","Education","Shri Ram College of Commerce",28.69029776,77.20694204,"4ca2e67c7f84224b0359c058","New Delhi","Delhi","General College & University","General Colleges & Universities","null","Maurice Nagar, University of Delhi",110007,"Maurice Nagar, University of Delhi"
"Sheikh sarai","Rec Center","Apeejay School",28.53797853,77.21941543,"4d344b6cf8c9224bb7cfc1d2","New Delhi","Delhi","College Rec Center","College Rec Centers","null","Sheikh sarai","null","Sheikh sarai"
"Begumpur","Technology","Maharaja Agrasen Institute Of Technology",28.71878395,77.06594941,"4e3d013c8877b00cfc41701e","New Delhi","Delhi","College Technology Building","College Technology Buildings","Rohini","Sector 22 (Rohini)",110086,"Sector 22"
"Golf Course Road","University","Ansal University",28.42995813,77.11183788,"5361db6c498ec8d98c44d2ab","New Delhi","Delhi","University","Universities","Golf Course Road","Sector-55 (Golf Course Road)",122003,"Sector-55"
"Push Vihar","Medical School","Delhi Institute Of Pharmaceutical And Science And Research",28.51612531,77.22414949,"54eac6c7498e5760d37537ca","New Delhi","Delhi","Medical School","Medical Schools","null","Push Vihar","null","Push Vihar"
"Hauz Khas","Education","National institute of fashion technology",28.55610078,77.20947981,"4d0f2c17ba378cfaad846f93","New Delhi","Delhi","General College & University","General Colleges & Universities","null","Hauz Khas","null","Hauz Khas"
"Haiderpur","Academic Building","Vivekananda Institute of Professional Studies",28.72164816,77.14089253,"4e286877091a1ba18da884d4","New Delhi","Delhi","College Academic Building","College Academic Buildings","Outer Ring Rd","AU Block, Pitampura (Outer Ring Rd)",110088,"AU Block, Pitampura"
"New Delhi","Science","Ram-eesh Greater Noida",28.47709046,77.49932057,"5123022fe4b04e6a10201f8e","New Delhi","Delhi","College Science Building","College Science Buildings","null","India","null","null"
"Baroda House","Japanese","Japanese Fuji Restaurant",28.63309875,77.2221218,"547b43fa498eaea3bee44d97","New Delhi","Delhi","Japanese Restaurant","Japanese Restaurants","null","Speedbird house, M Block, Middle circle, Connaught Place",110001,"Speedbird house, M Block, Middle circle, Connaught Place"
"Hyatt Regency - Bikaiji Cama Place","Chinese","The China Kitchen",28.5686189,77.18526829,"4bf181fd1f17ef3b05f69bc8","New Delhi","Delhi","Chinese Restaurant","Chinese Restaurants","null","Hyatt Regency - Bikaiji Cama Place","null","Hyatt Regency - Bikaiji Cama Place"
"Sushant lok phase 1.","Indian","Naivedyam",28.46499718,77.07903811,"4b8146b8f964a5203d9d30e3","New Delhi","Delhi","Indian Restaurant","Indian Restaurants","Sushant lok phase 1.","Vipul Square, DLF City Phase IV (Sushant lok phase 1.)",122001,"Vipul Square, DLF City Phase IV"
"Delhi High Court","Asian","Town Hall",28.60018042,77.226954,"534a44e0498e59262b9a5d50","New Delhi","Delhi","Asian Restaurant","Asian Restaurants","null","60 - 61, Khan Market",110003,"60 - 61, Khan Market"
"DLF Emporio, Vasant Kunj, New Delhi","Chinese","SET'Z",28.54309698,77.15666646,"4cc45ba906c25481e4339647","New Delhi","Delhi","Chinese Restaurant","Chinese Restaurants","null","DLF Emporio, Vasant Kunj, New Delhi","null","DLF Emporio, Vasant Kunj, New Delhi"
"Vasant Kunj","Asian","Mamagoto",28.54201827,77.15586827,"501e81bfe4b05ddc7d849db8","New Delhi","Delhi","Asian Restaurant","Asian Restaurants","Vasant Kunj","305 & 306, 2nd Floor, DLF Promenade Mall (Vasant Kunj)","null","305 & 306, 2nd Floor, DLF Promenade Mall"
