"Neighborhood","Venue Category","Venue","location_address","Neighborhood_Latitude","Neighborhood_Longitude","id","location_postalCode","location_city","location_state","location_country","location_formattedAddress","categories_name","categories_pluralName","categories_shortName","location_crossStreet","location_neighborhood",,,,,,,,
"Road 22","Movie Theater","PVR Cinemas","Scheme 6, Sion East, Sion",19.041403,72.8645,"5844618c26a953159f6dc7d4",400022,"Mumbai","Maharashtra","India","Scheme 6, Sion East, Sion (Road 22)","Movie Theater","Movie Theaters","Movie Theater","Road 22","Road 22",,,,,,,,
,"Cineplex","viviana mall Thane","null",19.20215227,73.02216294,"56362142498ef3d7f900745f","null","Mumbai","Maharashtra","India","India","Multiplex","Multiplexes","Cineplex","null",,,,,,,,,
"Th?ne","Movie Theater","4DX","Viviana Mall",19.2082022,72.97196441,"55294ac6498e4a1cb5b5d7b3","null","Mumbai","Maharashtra","India","Viviana Mall","Movie Theater","Movie Theaters","Movie Theater","null","Th?ne",,,,,,,,
,"Movie Theater","Gopi Cine Mall","null",19.2226213,73.08513778,"4e6c4c50d4c09a17a58c06ff","null","Mumbai","Maharashtra","India","India","Movie Theater","Movie Theaters","Movie Theater","null",,,,,,,,,
"Dr. Mus Marg","Theater","Gadkari Rangayatan","Dr. Mus Marg",19.19406255,72.97383854,"4db1863b6e81a2637eed0bfc","null","Mumbai","Maharashtra","India","Dr. Mus Marg","Theater","Theaters","Theater","null","Dr. Mus Marg",,,,,,,,
"Purushottam Kheraj Road","Theater","Mahakavi Kalidas Natya Mandir","Purushottam Kheraj Road",19.1734081,72.94901229,"4b0587dcf964a5209ca422e3",400080,"Mumbai","Maharashtra","India","Purushottam Kheraj Road","Theater","Theaters","Theater","null","Purushottam Kheraj Road",,,,,,,,
"85 Sayani Road","Theater","Bhupesh Gupta Bhavan","85 Sayani Road",19.00890991,72.83057782,"4b0587ddf964a520baa422e3","400 025","Mumbai","Maharashtra","India","85 Sayani Road","Theater","Theaters","Theater","null","85 Sayani Road",,,,,,,,
"Juhu Road","Theater","J.H. Mini Auditorium","Juhu Road",19.08441,72.829574,"4b0587ddf964a520bba422e3","400 049","Mumbai","Maharashtra","India","Juhu Road","Theater","Theaters","Theater","null","Juhu Road",,,,,,,,
"Near Shivaji Chowk","Theater","Acharya Atre Rangamandir","Subhash Maidan",19.24222599,73.12693605,"4f25687ee4b012e0301a085f",421301,"Mumbai","Maharashtra","India","Subhash Maidan (Near Shivaji Chowk)","Theater","Theaters","Theater","Near Shivaji Chowk","Near Shivaji Chowk",,,,,,,,
"Bandra","Theater","Rangsharda Auditorium","Bandra Reclamation",19.04998157,72.82600273,"4d12e4e9d1848cfa39d5bf71",400050,"Mumbai","Maharashtra","India","Bandra Reclamation (Bandra)","Theater","Theaters","Theater","Bandra","Bandra",,,,,,,,
"Juhu","Theater","Prithvi Theatre","Church Road",19.10615698,72.82580993,"4bcfe10f046076b0e02e6f71",400049,"Mumbai","Maharashtra","India","Church Road (Juhu)","Theater","Theaters","Theater","Juhu","Juhu",,,,,,,,
"General Jagannathrao Bhosle Marg","Theater","Yashwantrao Chavan Pratishthan-Auditorium","General Jagannathrao Bhosle Marg",18.92504958,72.82672344,"4b0587dcf964a5209aa422e3","400 021","Mumbai","Maharashtra","India","General Jagannathrao Bhosle Marg","Theater","Theaters","Theater","null","General Jagannathrao Bhosle Marg",,,,,,,,
"Bhandup East","Theater","Sawrgiya Dina Bama Patil Rangamancha","null",19.150988,72.9454,"5b13e99c64c8e1002c596fe8",400042,"Mumbai","Maharashtra","India","Mumbai 400042","Theater","Theaters","Theater","null","Bhandup East",,,,,,,,
"Mahakali Caves Road","Academic Building","Holy Family School Amphitheater","Mahakali Caves Road",19.117763,72.861474,"4b0587dcf964a52091a422e3","400 093","Mumbai","Maharashtra","India","Mahakali Caves Road","College Academic Building","College Academic Buildings","Academic Building","null","Mahakali Caves Road",,,,,,,,
"IIT Bombay","Event Space","Open Air Theatre (OAT)","IIT Bombay",19.13519952,72.91351865,"4d0f72665584f04d9cef5116",400076,"Mumbai","Maharashtra","India","IIT Bombay","Event Space","Event Spaces","Event Space","null","IIT Bombay",,,,,,,,
"Araam Nagar","Theater","Now Productions",65,19.134968,72.81329,"57079733498ee51864b4f2b4","null","Mumbai","Maharashtra","India","65 (Araam Nagar)","Theater","Theaters","Theater","Araam Nagar","Araam Nagar",,,,,,,,
"Cadel Rd","Theater","Swatantryaveer Savarkar Auditorium","null",19.032048,72.835434,"520caf8011d2872757d472fe","null","Mumbai","Maharashtra","India","Cadel Rd","Theater","Theaters","Theater","Cadel Rd","Cadel Rd",,,,,,,,
"Marine Drive","Theater","Jamshed Bhabha Theatre","Nariman Point",18.92513409,72.81973001,"4bc6a806bf29c9b68f36fa2a","null","Mumbai","Maharashtra","India","Nariman Point (Marine Drive)","Theater","Theaters","Theater","Marine Drive","Marine Drive",,,,,,,,
"Girgaun","Theater","Bharatiya Vidya Bhavan","Kulapati K.M. Munshi Marg",18.95728332,72.8104853,"4b0587dcf964a52081a422e3",400007,"Mumbai","Maharashtra","India","Kulapati K.M. Munshi Marg (Near Girgaun Chowpatty)","Theater","Theaters","Theater","Near Girgaun Chowpatty","Girgaun",,,,,,,,
"NCPA Marg","Theater","Little Theatre","NCPA Marg",18.92543933,72.82077442,"4b0587ddf964a520b5a422e3","400 021","Mumbai","Maharashtra","India","NCPA Marg","Theater","Theaters","Theater","null","NCPA Marg",,,,,,,,
,"Theater","Daljit gym","null",19.1294683,72.81698914,"4ea449ca4690104bb45559ef","null","Mumbai","Maharashtra","India","India","Theater","Theaters","Theater","null",,,,,,,,,
,"Theater","Ravindra Natya Mandir","null",19.01494832,72.83019176,"4ce796fcf1c6236a14905af0","null","Mumbai","Maharashtra","India","Mumbai","Theater","Theaters","Theater","null",,,,,,,,,
,"Theater","Sathaye College Auditorium","null",19.09903905,72.8507841,"4f41007de4b0c868de006fee","null","Mumbai","Maharashtra","India","India","Theater","Theaters","Theater","null",,,,,,,,,
,"Theater","Prabhodankar Natya Mandir","null",19.23083243,72.85343741,"4ebf6a6ab803bca7de1a47f1","null","Mumbai","Maharashtra","India","Mumbai","Theater","Theaters","Theater","null",,,,,,,,,
"Bhulabhai Desai Road","Theater","Sophia Bhabha Hall","Bhulabhai Desai Road",18.96981928,72.80708167,"4b0587ddf964a520aba422e3","400 026","Mumbai","Maharashtra","India","Bhulabhai Desai Road","Theater","Theaters","Theater","null","Bhulabhai Desai Road",,,,,,,,
"Panvel","Theater","???? ?????????? ??????? ????? ???? ????????,?????","Panvel",18.98844973,73.09322733,"538c9967498e5865fbe09f77","null","Mumbai","Maharashtra","India","Panvel","Theater","Theaters","Theater","null","Panvel",,,,,,,,
,"Theater","Dadasaheb Ambedkar Bhavan","null",19.133031,72.825898,"5013d723e4b06a029e2ed6d4","null","Mumbai","Maharashtra","India","India","Theater","Theaters","Theater","null",,,,,,,,,
,"Theater","Dr. Kashinath Ghanekar Natyaghruha- Thane","null",19.22864301,72.9700499,"513c06e9e4b0c4aa18b7e87a","null","Mumbai","Maharashtra","India","India","Theater","Theaters","Theater","null",,,,,,,,,
"Dadar East","Theater","Yogi Shabagrah","BAPS Swaminarayan Mandir",19.01800595,72.84531968,"4de1ef7f1f6e3190cd04d503","null","Mumbai","Maharashtra","India","BAPS Swaminarayan Mandir (Dadar East)","Theater","Theaters","Theater","Dadar East","Dadar East",,,,,,,,
"Nariman Point","Theater","Tata Theatre","Nariman Point",18.92506297,72.81995773,"4eb27d72b80348350a113945","null","Mumbai","Maharashtra","India","Nariman Point","Theater","Theaters","Theater","null","Nariman Point",,,,,,,,
"Techniplex Complex II","Theater","ITA indian Television Academy","Techniplex Complex II",19.17350189,72.84642744,"50334edee4b0cd7f6ecb89e1","null","Mumbai","Maharashtra","India","Techniplex Complex II","Theater","Theaters","Theater","null","Techniplex Complex II",,,,,,,,
,"Theater","Bn Vaidya","null",19.02299309,72.84889221,"50797529e4b03d49e485a9d7","null","Mumbai","Maharashtra","India","India","Theater","Theaters","Theater","null",,,,,,,,,
"Off Sayani Road","Theater","P.L Deshpande Auditorium","Off Sayani Road",19.0145378,72.83001813,"4b0587dcf964a52084a422e3",400025,"Mumbai","Maharashtra","India","Off Sayani Road","Theater","Theaters","Theater","null","Off Sayani Road",,,,,,,,
"K A Subramanyam Marg","Theater","Bhartiya Music and Arts Association","K A Subramanyam Marg",19.03403404,72.85554325,"4b0587dcf964a52080a422e3","400 022","Mumbai","Maharashtra","India","K A Subramanyam Marg","Theater","Theaters","Theater","null","K A Subramanyam Marg",,,,,,,,
,"Theater","Savitribai Phule Natyagruh","null",19.216156,73.10473692,"51fd1caa498e45a61d3555c7","null","Mumbai","Maharashtra","India","India","Theater","Theaters","Theater","null",,,,,,,,,
"Byramji Jeejeebhoy Road","Theater","Bandra Amphitheatre","Byramji Jeejeebhoy Road",19.06063205,72.82211888,"4b0587dcf964a52085a422e3",400050,"Mumbai","Maharashtra","India","Byramji Jeejeebhoy Road","Theater","Theaters","Theater","null","Byramji Jeejeebhoy Road",,,,,,,,
,"Theater","Vishnudas Bhave Naatygruh","null",19.03675954,73.02384065,"5014f07be4b035d9f4e7cb9b","null","Mumbai","Maharashtra","India","India","Theater","Theaters","Theater","null",,,,,,,,,
"Vashi","Theater","VishnuDas Bhave Natyagruha","Sector 16/A",19.07565743,72.99830253,"4cf096dbf98ba090650cc773",400703,"Mumbai","Maharashtra","India","Sector 16/A (Vashi)","Theater","Theaters","Theater","Vashi","Vashi",,,,,,,,
